,Unnamed: 0,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
104,104,CHEMBL3446332,CCNC(=O)c1nnc2ccc(N3CCOCC3)cc2n1,inactive,287.323,0.6110999999999995,1.0,6.0,4.0
105,105,CHEMBL3446334,O=C(NCc1ccccc1)c1nnc2ccc(N3CCOCC3)cc2n1,inactive,349.3940000000002,1.7913999999999999,1.0,6.0,4.0
106,106,CHEMBL3446334,O=C(NCc1ccccc1)c1nnc2ccc(N3CCOCC3)cc2n1,inactive,349.3940000000002,1.7913999999999999,1.0,6.0,4.0
107,107,CHEMBL3471696,CC(C)n1ccc(-c2cc(C(=O)N3CCCC3)c3ccccn23)n1,inactive,322.4119999999999,3.6197000000000026,0.0,4.0,4.0
108,108,CHEMBL3471696,CC(C)n1ccc(-c2cc(C(=O)N3CCCC3)c3ccccn23)n1,inactive,322.4119999999999,3.6197000000000026,0.0,4.0,4.0
109,109,CHEMBL3498471,Cl.Cl.c1ccc(OC[C@@H]2CCC[C@@]23CNCCO3)nc1,inactive,321.24800000000005,2.4627,1.0,4.0,4.0
110,110,CHEMBL3498471,Cl.Cl.c1ccc(OC[C@@H]2CCC[C@@]23CNCCO3)nc1,inactive,321.24800000000005,2.4627,1.0,4.0,4.0
111,111,CHEMBL3498472,Cl.Cl.c1cc(COC[C@@H]2CCC[C@@]23CNCCO3)ccn1,inactive,335.27500000000003,2.6005000000000003,1.0,4.0,4.0
112,112,CHEMBL3498472,Cl.Cl.c1cc(COC[C@@H]2CCC[C@@]23CNCCO3)ccn1,inactive,335.27500000000003,2.6005000000000003,1.0,4.0,4.0
113,113,CHEMBL3498473,Cl.Cl.c1cncc(OC[C@@H]2CCC[C@@]23CNCCO3)c1,inactive,321.248,2.4627,1.0,4.0,4.0
114,114,CHEMBL3498473,Cl.Cl.c1cncc(OC[C@@H]2CCC[C@@]23CNCCO3)c1,inactive,321.248,2.4627,1.0,4.0,4.0
115,115,CHEMBL3471698,CC(C)NC(=O)N1CC[C@@H]2CN(Cc3ccccc3)S(=O)(=O)[C@@H]2CC1,inactive,365.49900000000014,2.0305999999999997,1.0,3.0,4.0
116,116,CHEMBL3471698,CC(C)NC(=O)N1CC[C@@H]2CN(Cc3ccccc3)S(=O)(=O)[C@@H]2CC1,inactive,365.49900000000014,2.0305999999999997,1.0,3.0,4.0
117,117,CHEMBL3504591,FC1(F)CCN(Cc2ccccn2)CC12CCN(c1cccnc1)C2.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F,inactive,686.4750000000005,5.114200000000004,3.0,7.0,4.0
118,118,CHEMBL3504591,FC1(F)CCN(Cc2ccccn2)CC12CCN(c1cccnc1)C2.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F,inactive,686.4750000000005,5.114200000000004,3.0,7.0,4.0
119,119,CHEMBL3444413,CC1(C)Cc2ccccc2-c2nc(NCCO)[nH]c(=O)c21,inactive,285.34700000000004,1.6747999999999998,3.0,4.0,4.722070511373236
120,120,CHEMBL3444413,CC1(C)Cc2ccccc2-c2nc(NCCO)[nH]c(=O)c21,inactive,285.34700000000004,1.6747999999999998,3.0,4.0,4.635546380069775
121,121,CHEMBL3444413,CC1(C)Cc2ccccc2-c2nc(NCCO)[nH]c(=O)c21,inactive,285.34700000000004,1.6747999999999998,3.0,4.0,4.5475601591554184
122,122,CHEMBL3444413,CC1(C)Cc2ccccc2-c2nc(NCCO)[nH]c(=O)c21,inactive,285.34700000000004,1.6747999999999998,3.0,4.0,4.621398446342327
123,123,CHEMBL3469701,CN(C)C(=O)Cc1nc(CN2CCCCC2Cn2cccn2)cs1,inactive,347.48799999999994,2.0249999999999995,0.0,6.0,4.0
124,124,CHEMBL3469701,CN(C)C(=O)Cc1nc(CN2CCCCC2Cn2cccn2)cs1,inactive,347.48799999999994,2.0249999999999995,0.0,6.0,4.0
125,125,CHEMBL3471859,C[C@H]1C[C@@H]2CCN(Cc3ccccn3)C[C@H]2O1,inactive,232.32700000000003,2.0808999999999997,0.0,3.0,4.0
126,126,CHEMBL3471859,C[C@H]1C[C@@H]2CCN(Cc3ccccn3)C[C@H]2O1,inactive,232.32700000000003,2.0808999999999997,0.0,3.0,4.0
127,127,CHEMBL3469831,CCS(=O)(=O)CC(=O)NC(c1ccc(F)cc1)C1CCCC1,inactive,327.42100000000016,2.6079000000000008,1.0,3.0,4.0
128,128,CHEMBL3469831,CCS(=O)(=O)CC(=O)NC(c1ccc(F)cc1)C1CCCC1,inactive,327.42100000000016,2.6079000000000008,1.0,3.0,4.0
129,129,CHEMBL3469870,CCc1csc(C2CCCN(C(=O)c3cnn(CC)c3)C2)n1,inactive,318.4460000000001,2.941700000000001,0.0,5.0,4.0
130,130,CHEMBL3469870,CCc1csc(C2CCCN(C(=O)c3cnn(CC)c3)C2)n1,inactive,318.4460000000001,2.941700000000001,0.0,5.0,4.0
131,131,CHEMBL3500897,Cc1ccc2c(n1)N(C)CCN(C(=O)NC1CC1)C2.O=C(O)C(F)(F)F,inactive,374.36300000000006,2.14712,2.0,4.0,4.0
132,132,CHEMBL3500897,Cc1ccc2c(n1)N(C)CCN(C(=O)NC1CC1)C2.O=C(O)C(F)(F)F,inactive,374.36300000000006,2.14712,2.0,4.0,4.0
133,133,CHEMBL3446709,CC(C)c1cc(C(=O)NCCc2nc(-c3cccnc3)n[nH]2)[nH]n1,inactive,325.3759999999999,1.6856999999999998,3.0,5.0,4.471224018510919
134,134,CHEMBL3446709,CC(C)c1cc(C(=O)NCCc2nc(-c3cccnc3)n[nH]2)[nH]n1,inactive,325.3759999999999,1.6856999999999998,3.0,5.0,4.568810149300804
135,135,CHEMBL3446709,CC(C)c1cc(C(=O)NCCc2nc(-c3cccnc3)n[nH]2)[nH]n1,inactive,325.3759999999999,1.6856999999999998,3.0,5.0,4.528096159906344
136,136,CHEMBL3446709,CC(C)c1cc(C(=O)NCCc2nc(-c3cccnc3)n[nH]2)[nH]n1,inactive,325.3759999999999,1.6856999999999998,3.0,5.0,4.5813669813764335
137,137,CHEMBL3444831,O=C(NCC1CC1)C1CN(C(=O)c2cccc(Cl)c2)CC12CCOCC2,inactive,376.8840000000003,2.7350000000000003,1.0,3.0,4.0
138,138,CHEMBL3444831,O=C(NCC1CC1)C1CN(C(=O)c2cccc(Cl)c2)CC12CCOCC2,inactive,376.8840000000003,2.7350000000000003,1.0,3.0,4.0
139,139,CHEMBL3501058,CN(C)S(=O)(=O)N1C[C@H](Oc2cccnc2)[C@H]2OCCC[C@H]21.O=C(O)C(F)(F)F,inactive,441.4280000000002,1.1318999999999992,1.0,6.0,4.0
140,140,CHEMBL3501058,CN(C)S(=O)(=O)N1C[C@H](Oc2cccnc2)[C@H]2OCCC[C@H]21.O=C(O)C(F)(F)F,inactive,441.4280000000002,1.1318999999999992,1.0,6.0,4.0
141,141,CHEMBL3444873,CO[C@@H]1CC[C@H]2[C@H]1OCCN2C(=O)c1ccc(C)o1,inactive,265.30899999999997,1.60642,0.0,4.0,4.0
142,142,CHEMBL3444873,CO[C@@H]1CC[C@H]2[C@H]1OCCN2C(=O)c1ccc(C)o1,inactive,265.30899999999997,1.60642,0.0,4.0,4.0
143,143,CHEMBL3444874,Cc1ccsc1C(=O)N1CC(C(=O)NCC2CC2)C2(CCOCC2)C1,inactive,362.4950000000003,2.4515200000000004,1.0,4.0,4.0
144,144,CHEMBL3444874,Cc1ccsc1C(=O)N1CC(C(=O)NCC2CC2)C2(CCOCC2)C1,inactive,362.4950000000003,2.4515200000000004,1.0,4.0,4.0
145,145,CHEMBL3444875,Cc1ccsc1C(=O)N1CC(C(=O)N2CCOCC2)C2(CCOCC2)C1,inactive,378.4940000000003,1.7841200000000002,0.0,5.0,4.0
146,146,CHEMBL3444875,Cc1ccsc1C(=O)N1CC(C(=O)N2CCOCC2)C2(CCOCC2)C1,inactive,378.4940000000003,1.7841200000000002,0.0,5.0,4.0
147,147,CHEMBL3450410,Cc1cc(-c2cnc(NC3CC3)nc2-c2ccc(C)o2)on1,inactive,296.33000000000004,3.582740000000001,1.0,6.0,4.217682774992047
148,148,CHEMBL3450410,Cc1cc(-c2cnc(NC3CC3)nc2-c2ccc(C)o2)on1,inactive,296.33000000000004,3.582740000000001,1.0,6.0,4.353666080215502
149,149,CHEMBL3450410,Cc1cc(-c2cnc(NC3CC3)nc2-c2ccc(C)o2)on1,inactive,296.33000000000004,3.582740000000001,1.0,6.0,4.526892747366539
150,150,CHEMBL3450410,Cc1cc(-c2cnc(NC3CC3)nc2-c2ccc(C)o2)on1,inactive,296.33000000000004,3.582740000000001,1.0,6.0,4.0
151,151,CHEMBL3450410,Cc1cc(-c2cnc(NC3CC3)nc2-c2ccc(C)o2)on1,inactive,296.33000000000004,3.582740000000001,1.0,6.0,4.127659672034098
152,152,CHEMBL3450410,Cc1cc(-c2cnc(NC3CC3)nc2-c2ccc(C)o2)on1,inactive,296.33000000000004,3.582740000000001,1.0,6.0,3.5400000004708225
153,153,CHEMBL3449567,Cc1cc(-c2cnc(NC3CCCC3)nc2-c2ccco2)on1,inactive,310.357,4.054520000000002,1.0,6.0,4.667442176006099
154,154,CHEMBL3449567,Cc1cc(-c2cnc(NC3CCCC3)nc2-c2ccco2)on1,inactive,310.357,4.054520000000002,1.0,6.0,4.3100000171743025
155,155,CHEMBL3449568,Cc1cc(-c2cnc(NC3CCCCC3)nc2-c2ccco2)on1,inactive,324.384,4.444620000000003,1.0,6.0,4.0
156,156,CHEMBL3449568,Cc1cc(-c2cnc(NC3CCCCC3)nc2-c2ccco2)on1,inactive,324.384,4.444620000000003,1.0,6.0,4.757005631126678
157,157,CHEMBL3449573,Cc1cc(-c2cnc(NC3CCCC3)nc2-c2ccc(C)o2)on1,inactive,324.38400000000007,4.362940000000003,1.0,6.0,4.817211992013137
